"s [mm]","w [mm]","w2 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
7.5,0.2,0.7,6.6,-2.66124436402734
7.5,0.2,0.7,6.7,-2.81750328081378
7.5,0.2,0.7,6.8,-2.97235768179526
7.5,0.2,0.7,6.9,-3.12591593825972
7.5,0.2,0.7,7,-3.27829000926418
7.5,0.2,0.7,7.1,-3.4295933357438
7.5,0.2,0.7,7.2,-3.5799395418513
7.5,0.2,0.7,7.3,-3.7294417077136
7.5,0.2,0.7,7.4,-3.87821204822097
7.5,0.2,0.7,7.5,-4.0263618819609
7.5,0.2,0.7,7.6,-4.17400180948549
7.5,0.2,0.7,7.7,-4.32124204521797
7.5,0.2,0.7,7.8,-4.46819286554274
7.5,0.2,0.7,7.9,-4.61496514915619
7.5,0.2,0.7,8,-4.76167099614065
7.5,0.2,0.7,8.1,-4.90842442065779
7.5,0.2,0.7,8.2,-5.05534211963024
7.5,0.2,0.7,8.3,-5.20254432728886
7.5,0.2,0.7,8.4,-5.35015577423094
7.5,0.2,0.7,8.5,-5.49830678156497
7.5,0.2,0.7,8.6,-5.64713453924391
7.5,0.2,0.7,8.7,-5.79678464977025
7.5,0.2,0.7,8.8,-5.94741307942637
7.5,0.2,0.7,8.9,-6.09918878570379
7.5,0.2,0.7,9,-6.25229757734844
7.5,0.2,0.7,9.1,-6.40694848947864
7.5,0.2,0.7,9.2,-6.56338603362465
7.5,0.2,0.7,9.3,-6.72191867398899
7.5,0.2,0.7,9.4,-6.88300337758032
7.5,0.2,0.7,9.5,-7.04760312971879
7.5,0.2,0.7,9.6,-7.22016471297062
7.5,0.2,0.7,9.7,-7.34907194270149
7.5,0.2,0.7,9.8,-7.53865128510108
7.5,0.2,0.7,9.9,-7.71777389936539
7.5,0.2,0.7,10,-7.89900103860825
7.5,0.2,0.8,3,-6.48132886940571
7.5,0.2,0.8,3.1,-7.43035316193993
7.5,0.2,0.8,3.2,-8.62253602415888
7.5,0.2,0.8,3.3,-10.1814756264421
7.5,0.2,0.8,3.4,-12.3451967512848
7.5,0.2,0.8,3.5,-15.6710529565676
7.5,0.2,0.8,3.6,-22.1245618321305
7.5,0.2,0.8,3.7,-34.1228538106217
7.5,0.2,0.8,3.8,-17.9743359416942
7.5,0.2,0.8,3.9,-12.2835725455971
7.5,0.2,0.8,4,-8.71146731985927
7.5,0.2,0.8,4.1,-6.15358414758964
7.5,0.2,0.8,4.2,-4.24645292296716
7.5,0.2,0.8,4.3,-2.82455459629817
7.5,0.2,0.8,4.4,-1.78873355579065
7.5,0.2,0.8,4.5,-1.06304691615241
7.5,0.2,0.8,4.6,-0.581577345164859
7.5,0.2,0.8,4.7,-0.286666463401805
7.5,0.2,0.8,4.8,-0.130079978259929
7.5,0.2,0.8,4.9,-0.0735544101854916
7.5,0.2,0.8,5,-0.0880620254704811
7.5,0.2,0.8,5.1,-0.152286463964385
7.5,0.2,0.8,5.2,-0.25090922913021
7.5,0.2,0.8,5.3,-0.37306778168573
7.5,0.2,0.8,5.4,-0.511117638349155
7.5,0.2,0.8,5.5,-0.65970065181737
7.5,0.2,0.8,5.6,-0.815069443276937
7.5,0.2,0.8,5.7,-0.974607788577777
7.5,0.2,0.8,5.8,-1.13649383997802
7.5,0.2,0.8,5.9,-1.29946472738563
7.5,0.2,0.8,6,-1.46265210960037
7.5,0.2,0.8,6.1,-1.62546706358435
7.5,0.2,0.8,6.2,-1.78751922959131
7.5,0.2,0.8,6.3,-1.94855977615552
7.5,0.2,0.8,6.4,-2.10844098502298
7.5,0.2,0.8,6.5,-2.26708748587239
7.5,0.2,0.8,6.6,-2.42447570033429
7.5,0.2,0.8,6.7,-2.58061910383441
7.5,0.2,0.8,6.8,-2.73555763480132
7.5,0.2,0.8,6.9,-2.88935007832751
7.5,0.2,0.8,7,-3.04206859648441
7.5,0.2,0.8,7.1,-3.19379481833722
7.5,0.2,0.8,7.2,-3.34461707197703
7.5,0.2,0.8,7.3,-3.49462846089896
7.5,0.2,0.8,7.4,-3.64392557315733
7.5,0.2,0.8,7.5,-3.79260767466302
7.5,0.2,0.8,7.6,-3.94077628552605
7.5,0.2,0.8,7.7,-4.08853507655562
7.5,0.2,0.8,7.8,-4.23599005729968
7.5,0.2,0.8,7.9,-4.38325006340392
7.5,0.2,0.8,8,-4.53042759825368
7.5,0.2,0.8,8.1,-4.67764015687939
7.5,0.2,0.8,8.2,-4.8250122885009
7.5,0.2,0.8,8.3,-4.97267890042974
7.5,0.2,0.8,8.4,-5.12079081034864
7.5,0.2,0.8,8.5,-5.26952464168387
7.5,0.2,0.8,8.6,-5.41910158616087
7.5,0.2,0.8,8.7,-5.56982486195192
7.5,0.2,0.8,8.8,-5.72215387548008
7.5,0.2,0.8,8.9,-5.87679984290205
7.5,0.2,0.8,9,-6.03412530335468
7.5,0.2,0.8,9.1,-6.1868506285913
7.5,0.2,0.8,9.2,-6.32498408908558
7.5,0.2,0.8,9.3,-6.47392518451153
7.5,0.2,0.8,9.4,-6.63171610476253
7.5,0.2,0.8,9.5,-6.7930819475838
7.5,0.2,0.8,9.6,-6.95716768011118
7.5,0.2,0.8,9.7,-7.12412915414365
7.5,0.2,0.8,9.8,-7.29428082102238
7.5,0.2,0.8,9.9,-7.46793605887914
7.5,0.2,0.8,10,-7.64542523046596
7.5,0.2,0.9,3,-5.99111148003139
7.5,0.2,0.9,3.1,-6.8186579734189
7.5,0.2,0.9,3.2,-7.83179796319377
7.5,0.2,0.9,3.3,-9.10991005482422
7.5,0.2,0.9,3.4,-10.7909569829792
7.5,0.2,0.9,3.5,-13.1473154776323
7.5,0.2,0.9,3.6,-16.8485866083732
7.5,0.2,0.9,3.7,-24.5866399179445
7.5,0.2,0.9,3.8,-28.9861397048696
7.5,0.2,0.9,3.9,-17.2191302943845
7.5,0.2,0.9,4,-12.1208815101651
7.5,0.2,0.9,4.1,-8.80787610466691
7.5,0.2,0.9,4.2,-6.39562427053505
7.5,0.2,0.9,4.3,-4.56825222669289
7.5,0.2,0.9,4.4,-3.17591789714742
7.5,0.2,0.9,4.5,-2.12931736365999
7.5,0.2,0.9,4.6,-1.3629489492627
7.5,0.2,0.9,4.7,-0.822003511315644
7.5,0.2,0.9,4.8,-0.458805831927032
7.5,0.2,0.9,4.9,-0.232614096163092
7.5,0.2,0.9,5,-0.109886129014725
7.5,0.2,0.9,5.1,-0.0640237349456377
7.5,0.2,0.9,5.2,-0.0745705921215608
7.5,0.2,0.9,5.3,-0.126141902393258
7.5,0.2,0.9,5.4,-0.207340332684096
7.5,0.2,0.9,5.5,-0.309801744944771
7.5,0.2,0.9,5.6,-0.427420812836648
7.5,0.2,0.9,5.7,-0.555752954040634
7.5,0.2,0.9,5.8,-0.691566225350374
7.5,0.2,0.9,5.9,-0.832511610565985
7.5,0.2,0.9,6,-0.976882872588511
7.5,0.2,0.9,6.1,-1.1234424890539
7.5,0.2,0.9,6.2,-1.27129565620081
7.5,0.2,0.9,6.3,-1.41979899785567
7.5,0.2,0.9,6.4,-1.56849425714888
7.5,0.2,0.9,6.5,-1.71705997222224
7.5,0.2,0.9,6.6,-1.86527612346948
7.5,0.2,0.9,6.7,-2.01299816776369
7.5,0.2,0.9,6.8,-2.1601378939268
7.5,0.2,0.9,6.9,-2.30664925839203
7.5,0.2,0.9,7,-2.45251787534468
7.5,0.2,0.9,7.1,-2.59775320277946
7.5,0.2,0.9,7.2,-2.74238272826369
7.5,0.2,0.9,7.3,-2.88644764643609
7.5,0.2,0.9,7.4,-3.02999965595182
7.5,0.2,0.9,7.5,-3.17309860189028
7.5,0.2,0.9,7.6,-3.31581076125403
7.5,0.2,0.9,7.7,-3.45820762167072
7.5,0.2,0.9,7.8,-3.6003650421187
7.5,0.2,0.9,7.9,-3.7423627132574
7.5,0.2,0.9,8,-3.884283856492
7.5,0.2,0.9,8.1,-4.02621511722208
7.5,0.2,0.9,8.2,-4.16824662025401
7.5,0.2,0.9,8.3,-4.31047216515931
7.5,0.2,0.9,8.4,-4.45298954723756
7.5,0.2,0.9,8.5,-4.59590099629566
7.5,0.2,0.9,8.6,-4.73931373121643
7.5,0.2,0.9,8.7,-4.88334063367258
7.5,0.2,0.9,8.8,-5.0281010498396
7.5,0.2,0.9,8.9,-5.17372173513422
